RUN	parabank.LoginTest	logintest	1745973045891	 	3.3.1
USER	Login	115	END	1745973062578	1745973062912
USER	Login	119	START	1745973062978	1745973062978
REQUEST	116		login	1745973062686	1745973063020	OK	 
USER	Login	116	END	1745973062685	1745973063021
USER	Login	120	START	1745973063085	1745973063085
REQUEST	117		login	1745973062779	1745973063108	OK	 
USER	Login	117	END	1745973062778	1745973063110
USER	Login	121	START	1745973063178	1745973063178
REQUEST	118		login	1745973062885	1745973063220	OK	 
USER	Login	118	END	1745973062884	1745973063221
USER	Login	122	START	1745973063285	1745973063285
REQUEST	119		login	1745973062979	1745973063317	OK	 
USER	Login	119	END	1745973062978	1745973063318
USER	Login	123	START	1745973063378	1745973063378
REQUEST	120		login	1745973063086	1745973063440	OK	 
USER	Login	120	END	1745973063085	1745973063441
USER	Login	124	START	1745973063485	1745973063485
REQUEST	121		login	1745973063179	1745973063490	OK	 
USER	Login	121	END	1745973063178	1745973063490
USER	Login	125	START	1745973063576	1745973063576
REQUEST	122		login	1745973063286	1745973063620	OK	 
USER	Login	122	END	1745973063285	1745973063621
USER	Login	126	START	1745973063669	1745973063669
REQUEST	123		login	1745973063379	1745973063729	OK	 
USER	Login	123	END	1745973063378	1745973063731
USER	Login	127	START	1745973063749	1745973063749
REQUEST	124		login	1745973063486	1745973063800	OK	 
USER	Login	124	END	1745973063485	1745973063801
USER	Login	128	START	1745973063838	1745973063838
REQUEST	125		login	1745973063577	1745973063901	OK	 
USER	Login	125	END	1745973063576	1745973063902
USER	Login	129	START	1745973063929	1745973063929
REQUEST	126		login	1745973063670	1745973064001	OK	 
USER	Login	126	END	1745973063669	1745973064002
USER	Login	130	START	1745973064036	1745973064036
USER	Login	131	START	1745973064128	1745973064128
REQUEST	127		login	1745973063750	1745973064135	OK	 
USER	Login	127	END	1745973063749	1745973064136
USER	Login	132	START	1745973064208	1745973064208
REQUEST	128		login	1745973063839	1745973064209	OK	 
USER	Login	128	END	1745973063838	1745973064210
REQUEST	129		login	1745973063930	1745973064280	OK	 
USER	Login	129	END	1745973063929	1745973064281
USER	Login	133	START	1745973064298	1745973064298
REQUEST	130		login	1745973064037	1745973064387	OK	 
USER	Login	130	END	1745973064036	1745973064388
USER	Login	134	START	1745973064390	1745973064390
REQUEST	131		login	1745973064129	1745973064437	OK	 
USER	Login	131	END	1745973064128	1745973064438
USER	Login	135	START	1745973064469	1745973064469
REQUEST	132		login	1745973064209	1745973064538	OK	 
USER	Login	132	END	1745973064208	1745973064539
USER	Login	136	START	1745973064560	1745973064560
REQUEST	133		login	1745973064299	1745973064640	OK	 
USER	Login	133	END	1745973064298	1745973064640
USER	Login	137	START	1745973064651	1745973064651
REQUEST	134		login	1745973064391	1745973064733	OK	 
USER	Login	134	END	1745973064390	1745973064734
USER	Login	138	START	1745973064742	1745973064742
REQUEST	135		login	1745973064469	1745973064792	OK	 
USER	Login	135	END	1745973064469	1745973064792
USER	Login	139	START	1745973064834	1745973064834
REQUEST	136		login	1745973064560	1745973064910	OK	 
USER	Login	136	END	1745973064560	1745973064911
USER	Login	140	START	1745973064926	1745973064926
REQUEST	137		login	1745973064652	1745973065000	OK	 
USER	Login	137	END	1745973064651	1745973065002
USER	Login	141	START	1745973065017	1745973065017
USER	Login	142	START	1745973065107	1745973065107
REQUEST	138		login	1745973064743	1745973065111	OK	 
USER	Login	138	END	1745973064742	1745973065112
USER	Login	143	START	1745973065188	1745973065188
REQUEST	139		login	1745973064835	1745973065192	OK	 
USER	Login	139	END	1745973064834	1745973065193
REQUEST	140		login	1745973064927	1745973065270	OK	 
USER	Login	140	END	1745973064926	1745973065271
USER	Login	144	START	1745973065292	1745973065292
USER	Login	145	START	1745973065385	1745973065385
REQUEST	141		login	1745973065017	1745973065386	OK	 
USER	Login	141	END	1745973065017	1745973065387
REQUEST	142		login	1745973065108	1745973065437	OK	 
USER	Login	142	END	1745973065107	1745973065438
USER	Login	146	START	1745973065478	1745973065478
REQUEST	143		login	1745973065189	1745973065505	OK	 
USER	Login	143	END	1745973065188	1745973065506
USER	Login	147	START	1745973065569	1745973065569
REQUEST	144		login	1745973065292	1745973065624	OK	 
USER	Login	144	END	1745973065292	1745973065625
USER	Login	148	START	1745973065676	1745973065676
REQUEST	145		login	1745973065386	1745973065720	OK	 
USER	Login	145	END	1745973065385	1745973065721
USER	Login	149	START	1745973065768	1745973065768
REQUEST	146		login	1745973065479	1745973065811	OK	 
USER	Login	146	END	1745973065478	1745973065812
USER	Login	150	START	1745973065848	1745973065848
REQUEST	147		login	1745973065570	1745973065918	OK	 
USER	Login	147	END	1745973065569	1745973065920
USER	Login	151	START	1745973065938	1745973065938
USER	Login	152	START	1745973066029	1745973066029
REQUEST	148		login	1745973065677	1745973066045	OK	 
USER	Login	148	END	1745973065676	1745973066046
USER	Login	153	START	1745973066121	1745973066121
USER	Login	154	START	1745973066214	1745973066214
USER	Login	155	START	1745973066307	1745973066307
USER	Login	156	START	1745973066389	1745973066389
USER	Login	157	START	1745973066478	1745973066478
USER	Login	158	START	1745973066568	1745973066568
REQUEST	155		login	1745973066308	1745973066654	OK	 
USER	Login	155	END	1745973066307	1745973066655
USER	Login	159	START	1745973066661	1745973066661
REQUEST	152		login	1745973066029	1745973066713	OK	 
REQUEST	156		login	1745973066390	1745973066713	OK	 
USER	Login	156	END	1745973066389	1745973066714
USER	Login	152	END	1745973066029	1745973066714
REQUEST	149		login	1745973065769	1745973066718	OK	 
USER	Login	149	END	1745973065768	1745973066719
USER	Login	160	START	1745973066767	1745973066767
REQUEST	150		login	1745973065849	1745973066790	OK	 
USER	Login	150	END	1745973065848	1745973066791
USER	Login	161	START	1745973066848	1745973066848
REQUEST	157		login	1745973066479	1745973066875	OK	 
USER	Login	157	END	1745973066478	1745973066876
REQUEST	158		login	1745973066569	1745973066930	OK	 
USER	Login	158	END	1745973066568	1745973066931
USER	Login	162	START	1745973066938	1745973066938
REQUEST	153		login	1745973066122	1745973066955	OK	 
USER	Login	153	END	1745973066121	1745973066956
USER	Login	163	START	1745973067029	1745973067029
USER	Login	164	START	1745973067120	1745973067120
USER	Login	165	START	1745973067213	1745973067213
USER	Login	166	START	1745973067305	1745973067305
REQUEST	159		login	1745973066662	1745973067309	OK	 
USER	Login	159	END	1745973066661	1745973067309
REQUEST	151		login	1745973065939	1745973067314	OK	 
USER	Login	151	END	1745973065938	1745973067315
REQUEST	162		login	1745973066939	1745973067325	OK	 
USER	Login	162	END	1745973066938	1745973067326
USER	Login	167	START	1745973067388	1745973067388
REQUEST	163		login	1745973067029	1745973067403	OK	 
USER	Login	163	END	1745973067029	1745973067404
USER	Login	168	START	1745973067478	1745973067478
REQUEST	160		login	1745973066768	1745973067520	OK	 
USER	Login	160	END	1745973066767	1745973067521
USER	Login	169	START	1745973067569	1745973067569
REQUEST	164		login	1745973067121	1745973067572	OK	 
USER	Login	164	END	1745973067120	1745973067573
USER	Login	170	START	1745973067645	1745973067645
REQUEST	166		login	1745973067306	1745973067655	OK	 
USER	Login	166	END	1745973067305	1745973067656
REQUEST	165		login	1745973067214	1745973067675	OK	 
REQUEST	154		login	1745973066215	1745973067675	OK	 
USER	Login	154	END	1745973066214	1745973067676
USER	Login	165	END	1745973067213	1745973067676
REQUEST	167		login	1745973067389	1745973067716	OK	 
USER	Login	167	END	1745973067388	1745973067718
USER	Login	171	START	1745973067737	1745973067737
USER	Login	172	START	1745973067814	1745973067814
USER	Login	173	START	1745973067890	1745973067890
USER	Login	174	START	1745973067982	1745973067982
USER	Login	175	START	1745973068058	1745973068058
USER	Login	176	START	1745973068138	1745973068138
REQUEST	168		login	1745973067479	1745973068162	OK	 
USER	Login	168	END	1745973067478	1745973068163
REQUEST	169		login	1745973067569	1745973068210	OK	 
USER	Login	169	END	1745973067569	1745973068211
USER	Login	177	START	1745973068228	1745973068228
USER	Login	178	START	1745973068319	1745973068319
REQUEST	174		login	1745973067983	1745973068351	OK	 
USER	Login	174	END	1745973067982	1745973068352
REQUEST	175		login	1745973068059	1745973068390	OK	 
USER	Login	175	END	1745973068058	1745973068391
USER	Login	179	START	1745973068395	1745973068395
REQUEST	171		login	1745973067738	1745973068450	OK	 
REQUEST	172		login	1745973067815	1745973068450	OK	 
USER	Login	172	END	1745973067814	1745973068451
USER	Login	171	END	1745973067737	1745973068451
REQUEST	176		login	1745973068139	1745973068478	OK	 
USER	Login	176	END	1745973068138	1745973068479
