ASSERTION	AAIDAAEBAQAAAAAAAECfQA==
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
RUN	parabank.LoginTest	logintest	1746167524076	 	3.3.1
USER	Login	158	END	1746167530405	1746167531017
USER	Login	133	END	1746167530402	1746167531017
REQUEST	154		login	1746167530405	1746167531020	OK	 
USER	Login	154	END	1746167530405	1746167531021
REQUEST	142		login	1746167530403	1746167531021	OK	 
USER	Login	142	END	1746167530403	1746167531022
REQUEST	131		login	1746167530402	1746167531023	OK	 
REQUEST	128		login	1746167530401	1746167531023	OK	 
REQUEST	171		login	1746167530408	1746167531023	OK	 
USER	Login	131	END	1746167530402	1746167531024
USER	Login	128	END	1746167530401	1746167531024
USER	Login	171	END	1746167530408	1746167531024
REQUEST	151		login	1746167530404	1746167531024	OK	 
USER	Login	151	END	1746167530404	1746167531025
REQUEST	104		login	1746167530397	1746167531025	OK	 
REQUEST	121		login	1746167530400	1746167531025	OK	 
USER	Login	121	END	1746167530400	1746167531025
USER	Login	104	END	1746167530395	1746167531025
REQUEST	136		login	1746167530402	1746167531027	OK	 
REQUEST	170		login	1746167530408	1746167531027	OK	 
REQUEST	199		login	1746167530413	1746167531027	OK	 
USER	Login	170	END	1746167530407	1746167531027
USER	Login	199	END	1746167530413	1746167531027
USER	Login	136	END	1746167530402	1746167531027
REQUEST	200		login	1746167530413	1746167531027	OK	 
USER	Login	200	END	1746167530413	1746167531028
REQUEST	168		login	1746167530407	1746167531034	OK	 
REQUEST	172		login	1746167530408	1746167531034	OK	 
REQUEST	166		login	1746167530408	1746167531034	OK	 
REQUEST	167		login	1746167530408	1746167531034	OK	 
USER	Login	166	END	1746167530406	1746167531034
USER	Login	168	END	1746167530407	1746167531034
USER	Login	167	END	1746167530407	1746167531034
USER	Login	172	END	1746167530408	1746167531034
REQUEST	140		login	1746167530403	1746167531035	OK	 
USER	Login	140	END	1746167530403	1746167531035
REQUEST	122		login	1746167530400	1746167531036	OK	 
REQUEST	127		login	1746167530401	1746167531037	OK	 
USER	Login	122	END	1746167530400	1746167531037
USER	Login	127	END	1746167530401	1746167531037
REQUEST	186		login	1746167530411	1746167531040	OK	 
USER	Login	186	END	1746167530411	1746167531041
REQUEST	193		login	1746167530412	1746167531042	OK	 
USER	Login	193	END	1746167530412	1746167531043
REQUEST	192		login	1746167530412	1746167531044	OK	 
USER	Login	192	END	1746167530412	1746167531045
