ASSERTION	AAICAAMBAAAAAAAAAFlA
RUN	parabank.EscalabilidadEnTransaccTest	escalabilidadentransacctest	1745973029508	 	3.3.1
REQUEST	98		EscalabilidadEnTransacc	1745973031744	1745973032210	OK	 
USER	Probar escalabilidad en transacciones	105	END	1745973031793	1745973032210
USER	Probar escalabilidad en transacciones	98	END	1745973031743	1745973032212
REQUEST	116		EscalabilidadEnTransacc	1745973031864	1745973032213	OK	 
USER	Probar escalabilidad en transacciones	116	END	1745973031863	1745973032214
USER	Probar escalabilidad en transacciones	166	START	1745973032218	1745973032218
USER	Probar escalabilidad en transacciones	165	START	1745973032218	1745973032218
REQUEST	120		EscalabilidadEnTransacc	1745973031894	1745973032221	OK	 
USER	Probar escalabilidad en transacciones	167	START	1745973032219	1745973032219
USER	Probar escalabilidad en transacciones	120	END	1745973031893	1745973032222
USER	Probar escalabilidad en transacciones	169	START	1745973032223	1745973032223
USER	Probar escalabilidad en transacciones	168	START	1745973032223	1745973032223
REQUEST	119		EscalabilidadEnTransacc	1745973031892	1745973032229	OK	 
USER	Probar escalabilidad en transacciones	119	END	1745973031892	1745973032230
USER	Probar escalabilidad en transacciones	170	START	1745973032237	1745973032237
USER	Probar escalabilidad en transacciones	171	START	1745973032253	1745973032253
USER	Probar escalabilidad en transacciones	173	START	1745973032253	1745973032253
USER	Probar escalabilidad en transacciones	172	START	1745973032253	1745973032253
REQUEST	91		EscalabilidadEnTransacc	1745973031712	1745973032255	OK	 
REQUEST	70		EscalabilidadEnTransacc	1745973031562	1745973032256	OK	 
REQUEST	78		EscalabilidadEnTransacc	1745973031619	1745973032256	OK	 
USER	Probar escalabilidad en transacciones	91	END	1745973031711	1745973032257
USER	Probar escalabilidad en transacciones	70	END	1745973031555	1745973032257
USER	Probar escalabilidad en transacciones	78	END	1745973031618	1745973032257
REQUEST	84		EscalabilidadEnTransacc	1745973031660	1745973032265	OK	 
USER	Probar escalabilidad en transacciones	84	END	1745973031659	1745973032266
USER	Probar escalabilidad en transacciones	175	START	1745973032268	1745973032268
USER	Probar escalabilidad en transacciones	174	START	1745973032268	1745973032268
REQUEST	95		EscalabilidadEnTransacc	1745973031724	1745973032272	OK	 
REQUEST	80		EscalabilidadEnTransacc	1745973031624	1745973032272	OK	 
USER	Probar escalabilidad en transacciones	80	END	1745973031623	1745973032273
