ASSERTION	AAMAARNMb2dpbiAxMDAvbG9naW5fMTAwAwABAQEAAAAAAABAn0A=
ASSERTION	AAMAARNMb2dpbiAyMDAvbG9naW5fMjAwAwABAQEAAAAAAACIs0A=
RUN	parabank.LoginTest	logintest	1746084763436	 	3.3.1
GROUP	49	Login 100	1746084765266	1746084765972	706	OK
GROUP	103	Login 200	1746084765274	1746084765972	698	OK
REQUEST	21	Login 100	login_100	1746084765243	1746084765972	OK	 
REQUEST	144	Login 200	login_200	1746084765278	1746084765972	OK	 
GROUP	21	Login 100	1746084765125	1746084765972	729	OK
GROUP	144	Login 200	1746084765278	1746084765972	694	OK
USER	Carga Pico	196	END	1746084765283	1746084765972
USER	Carga Pico	103	END	1746084765273	1746084765973
USER	Carga Normal	49	END	1746084765265	1746084765973
USER	Carga Pico	144	END	1746084765278	1746084765973
USER	Carga Normal	21	END	1746084765119	1746084765973
REQUEST	23	Login 100	login_100	1746084765243	1746084765973	OK	 
GROUP	23	Login 100	1746084765125	1746084765973	730	OK
USER	Carga Normal	23	END	1746084765120	1746084765974
REQUEST	5	Login 100	login_100	1746084765242	1746084765980	OK	 
REQUEST	164	Login 200	login_200	1746084765280	1746084765981	OK	 
GROUP	5	Login 100	1746084765125	1746084765981	738	OK
GROUP	164	Login 200	1746084765280	1746084765981	701	OK
REQUEST	126	Login 200	login_200	1746084765276	1746084765980	OK	 
GROUP	126	Login 200	1746084765276	1746084765981	704	OK
REQUEST	216	Login 200	login_200	1746084765286	1746084765981	OK	 
GROUP	216	Login 200	1746084765286	1746084765981	695	OK
USER	Carga Pico	164	END	1746084765280	1746084765982
USER	Carga Pico	126	END	1746084765276	1746084765982
USER	Carga Pico	216	END	1746084765286	1746084765982
USER	Carga Normal	5	END	1746084765112	1746084765982
REQUEST	54	Login 100	login_100	1746084765267	1746084765982	OK	 
GROUP	54	Login 100	1746084765266	1746084765983	715	OK
USER	Carga Normal	54	END	1746084765266	1746084765983
REQUEST	142	Login 200	login_200	1746084765278	1746084765993	OK	 
GROUP	142	Login 200	1746084765278	1746084765993	715	OK
USER	Carga Pico	142	END	1746084765278	1746084765994
REQUEST	100	Login 100	login_100	1746084765273	1746084765997	OK	 
GROUP	100	Login 100	1746084765273	1746084765998	724	OK
USER	Carga Normal	100	END	1746084765273	1746084765999
