ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.ConsultarEstadoCuentasTest	consultarestadocuentastest	1746167491661	 	3.3.1
REQUEST	64		ConsultarEstadoCuentas	1746167493267	1746167494007	OK	 
USER	Consultar estado de cuentas	64	END	1746167493267	1746167494008
REQUEST	9		ConsultarEstadoCuentas	1746167493250	1746167494016	OK	 
REQUEST	154		ConsultarEstadoCuentas	1746167493278	1746167494016	OK	 
USER	Consultar estado de cuentas	9	END	1746167493144	1746167494017
USER	Consultar estado de cuentas	154	END	1746167493278	1746167494017
REQUEST	1		ConsultarEstadoCuentas	1746167493250	1746167494035	OK	 
REQUEST	184		ConsultarEstadoCuentas	1746167493282	1746167494035	OK	 
USER	Consultar estado de cuentas	1	END	1746167493142	1746167494036
USER	Consultar estado de cuentas	184	END	1746167493282	1746167494036
REQUEST	61		ConsultarEstadoCuentas	1746167493267	1746167494046	OK	 
USER	Consultar estado de cuentas	61	END	1746167493267	1746167494047
REQUEST	107		ConsultarEstadoCuentas	1746167493272	1746167494061	OK	 
USER	Consultar estado de cuentas	107	END	1746167493272	1746167494062
REQUEST	46		ConsultarEstadoCuentas	1746167493265	1746167494092	OK	 
REQUEST	15		ConsultarEstadoCuentas	1746167493250	1746167494092	OK	 
REQUEST	44		ConsultarEstadoCuentas	1746167493265	1746167494092	OK	 
REQUEST	24		ConsultarEstadoCuentas	1746167493250	1746167494092	OK	 
USER	Consultar estado de cuentas	46	END	1746167493264	1746167494093
USER	Consultar estado de cuentas	15	END	1746167493147	1746167494093
USER	Consultar estado de cuentas	44	END	1746167493264	1746167494093
USER	Consultar estado de cuentas	24	END	1746167493173	1746167494093
REQUEST	12		ConsultarEstadoCuentas	1746167493250	1746167494094	OK	 
USER	Consultar estado de cuentas	12	END	1746167493145	1746167494094
REQUEST	109		ConsultarEstadoCuentas	1746167493273	1746167494098	OK	 
REQUEST	33		ConsultarEstadoCuentas	1746167493263	1746167494098	OK	 
REQUEST	86		ConsultarEstadoCuentas	1746167493270	1746167494098	OK	 
USER	Consultar estado de cuentas	33	END	1746167493263	1746167494098
USER	Consultar estado de cuentas	109	END	1746167493272	1746167494098
USER	Consultar estado de cuentas	86	END	1746167493269	1746167494099
REQUEST	81		ConsultarEstadoCuentas	1746167493269	1746167494099	OK	 
USER	Consultar estado de cuentas	81	END	1746167493269	1746167494099
